"ID","languages.1"
"code","eng"
"take_a_pause","Berhenti Seketika"
"one_on_one_yc",""
"kind_to_myself_yc","Berlaku Baik terhadap Diri Saya Sendiri"
"give_praise_yc",""
"talk_feelings_yc","Bercakap tentang Perasaan"
"spirituality_yc",""
"language_yc",""
"reading1_4to6_yc",""
"reading2_4to6_yc",""
"maths1_4to6_yc",""
"maths2_4to6_yc",""
"reading_2to3_yc",""
"maths_2to3_yc",""
"engage_with_school_3to6_yc",""
"play_yc",""
"learn_from_experience_yc",""
"toddler_changing_yc",""
"young_child_changing_yc",""
"child_changing_yc",""
"manage_my_stress_yc",""
"keeping_it_positive_yc",""
"create_routines_yc",""
"creating_family_rules","Mewujudkan Peraturan Keluarga"
"know_everyones_role_yc","Ketahui Peranan Semua Orang"
"redirect_yc","Alihkan Salah Laku"
"ignore_demanding_yc",""
"managing_anger_yc",""
"teach_consequences_yc","Mengajar Anak Saya Tentang Akibat"
"solve_problems_yc","Menyelesaikan Masalah dengan My Child"
"community_safety_teen",""
"self_defence_teen",""
"sex_violence_teen",""
"crises_teen","Bertindak balas terhadap krisis"
"ipv_equals",""
"ipv_supportive",""
"ipv_sharing",""
"ipv_conflicts",""
"ipv_listen",""
